Episodes,steps
0,38
1,40
2,112
3,176
4,116
5,146
6,137
7,184
8,189
9,150
10,332
11,203
12,224
13,82
14,67
15,244
16,184
17,98
18,276
19,82
20,51
21,118
22,144
23,104
24,192
25,86
26,174
27,208
28,148
29,67
30,98
31,226
32,140
33,134
34,96
35,78
36,82
37,193
38,118
39,24
40,132
41,102
42,176
43,76
44,80
45,102
46,90
47,107
48,99
49,156
50,78
51,82
52,93
53,126
54,136
55,84
56,90
57,8
58,82
59,84
60,70
61,96
62,90
63,16
64,78
65,80
66,16
67,86
68,60
69,118
70,136
71,82
72,84
73,103
74,64
75,68
76,70
77,86
78,40
79,76
80,64
81,76
82,45
83,128
84,56
85,56
86,54
87,103
88,101
89,52
90,48
91,158
92,76
93,106
94,60
95,42
96,40
97,60
98,46
99,80
100,76
101,88
102,74
103,86
104,40
105,50
106,120
107,59
108,99
109,50
110,54
111,42
112,42
113,72
114,44
115,5
116,54
117,80
118,66
119,46
120,53
121,44
122,70
123,62
124,44
125,52
126,38
127,9
128,40
129,74
130,56
131,42
132,27
133,60
134,40
135,55
136,42
137,38
138,82
139,44
140,46
141,44
142,42
143,42
144,48
145,40
146,5
147,47
148,40
149,38
150,40
151,40
152,43
153,39
154,38
155,38
156,38
157,42
158,38
159,38
160,38
161,40
162,38
163,38
164,38
165,38
166,42
167,38
168,38
169,38
170,38
171,41
172,38
173,40
174,38
175,38
176,38
177,38
178,38
179,28
180,38
181,40
182,38
183,38
184,38
185,38
186,38
187,38
188,38
189,38
190,38
191,38
192,40
193,38
194,38
195,38
196,38
197,38
198,38
199,38
